Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
egypt,"8,143","8,629","9,227","9,589","11,334","12,678","14,974","19,136","23,432","15,616","23,523","25,760","30,479","37,254","41,888","48,841","54,076","77,359","92,530","115,362","96,087","48,431","44,168","49,526","54,550","63,250","71,118","79,777","89,189","95,039","104,752","102,273","90,261","85,163","82,855","94,127","112,902","137,055","170,797","198,316","230,024","247,726","294,482","303,194","321,634","350,119","351,443","246,826","263,156","317,894","382,525","423,300","475,231","393,828","383,109","347,342","389,040","432,812","480,602","532,288"
el salvador,338,356,379,438,519,589,751,943,"1,012","1,132","3,912","3,449","3,406","3,261","2,385","2,319","2,335","2,374","2,771","3,167","4,818","5,252","5,813","6,680","7,679","8,922","9,586","10,222","10,937","11,284","11,785","12,283","12,664","13,244","13,725","14,698","16,000","17,012","17,987","17,602","18,448","20,284","21,386","21,991","22,593","23,438","24,191","24,979","26,021","26,881","24,921","29,043","31,989","34,016","35,337","36,749","38,476","40,354","42,364","44,312"
equatorial guinea,20,21,20,26,27,34,35,39,44,50,32,30,35,40,44,74,91,111,119,105,133,132,160,162,120,169,276,526,440,738,"1,159","1,674","2,070","3,733","5,935","8,191","10,096","13,091","19,828","15,072","16,328","21,354","22,403","21,949","21,771","13,187","11,238","12,197","13,309","11,365","9,908","12,222","13,717","12,339","12,544","12,684","12,894","12,998","13,293","13,821"
eritrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606,374,433,483,579,594,626,614,547,582,564,673,858,850,937,"1,020",923,"1,297","1,590","2,065","2,255","1,958","2,604","2,016","2,213","1,904","2,006","1,982","1,982","1,982","1,982","1,982","1,982","1,982","1,982","1,982","1,982","1,982"
estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,791","2,507","3,909","4,785","5,160","5,678","5,771","5,707","6,265","7,393","9,894","12,161","14,129","17,049","22,478","24,434","19,694","19,569","23,300","23,252","25,451","27,063","23,314","24,554","27,460","31,237","31,877","31,795","37,229","38,406","41,303","42,752","45,004","47,816","50,261","52,643","54,990"
eswatini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754,798,714,734,628,497,635,831,986,"1,006","1,237","1,285","1,425","1,497","1,621","1,932","1,830","1,957","1,797","1,764","1,739","1,544","1,436","2,198","2,774","3,177","3,293","3,465","3,298","3,596","4,438","4,826","4,887","4,600","4,426","4,061","3,815","4,407","4,667","4,495","3,984","4,851","4,791","4,858","5,199","5,483","5,859","6,215","6,522","6,836"
ethiopia,"2,559","2,709","2,958","3,421","3,846","3,828","4,160","4,730","5,034","5,533","7,385","7,578","7,973","8,863","8,375","9,808","10,188","10,890","11,285","11,872","12,595","13,928","14,696","9,143","8,135","7,887","8,794","8,621","7,815","7,515","8,167","8,103","7,828","8,604","10,122","12,387","15,310","19,329","26,250","28,672","26,887","30,480","42,221","46,544","54,165","63,081","72,120","76,841","80,207","92,608","96,611","99,261","118,958","159,761","143,123","117,457","138,824","159,261","182,236","206,391"
fiji,223,249,320,430,564,691,702,727,838,"1,030","1,303","1,339","1,293","1,217","1,276","1,236","1,398","1,276","1,202","1,281","1,448","1,500","1,659","1,772","1,977","2,134","2,307","2,268","1,795","2,104","1,824","1,798","1,996","2,509","2,954","3,257","3,361","3,688","3,816","3,106","3,402","4,094","4,303","4,539","4,857","4,682","4,930","5,353","5,581","5,444","4,432","4,305","4,970","5,442","5,949","6,257","6,564","6,913","7,284","7,674"
finland,"11,113","12,257","14,425","19,053","24,312","29,122","31,469","33,102","35,826","43,934","53,714","52,620","53,111","51,056","53,032","56,223","73,652","91,775","109,255","119,106","141,726","128,215","113,139","89,177","103,621","134,210","132,046","127,027","134,164","135,369","126,023","129,521","140,262","171,570","197,369","204,973","217,056","256,390","285,667","253,206","249,633","275,079","257,606","270,272","273,549","233,234","238,712","253,757","273,993","267,044","269,784","294,419","280,474","295,036","298,833","303,945","315,822","326,344","337,007","348,457"
france,"146,436","163,704","200,946","261,468","282,158","355,617","367,273","405,397","500,052","605,041","695,475","612,552","581,254","555,956","526,671","551,596","766,302","927,257","1,012,843","1,017,702","1,260,874","1,263,244","1,392,563","1,315,795","1,388,477","1,596,250","1,599,248","1,451,058","1,498,974","1,488,392","1,361,560","1,370,386","1,491,373","1,834,637","2,108,835","2,193,358","2,317,985","2,656,130","2,926,483","2,697,144","2,648,391","2,869,903","2,684,706","2,816,119","2,861,973","2,442,731","2,469,726","2,587,955","2,782,838","2,723,094","2,645,806","2,968,405","2,797,049","3,056,880","3,162,023","3,211,292","3,317,916","3,418,285","3,526,684","3,637,929"
gabon,396,467,527,885,"1,890","2,641","3,684","3,439","2,925","3,709","4,559","4,111","3,853","3,689","3,547","3,736","4,889","3,699","4,079","4,458","6,339","5,754","5,955","5,757","4,463","5,281","6,064","5,673","4,774","4,966","5,397","5,023","5,332","6,510","7,767","9,468","10,164","12,457","15,570","12,188","14,384","18,207","17,181","17,596","18,209","14,385","14,020","14,924","16,830","16,875","15,364","19,455","20,485","20,059","20,774","20,391","20,921","21,723","22,609","23,502"
gambia,96,101,132,224,293,352,323,342,406,445,606,580,547,550,396,482,376,504,585,614,721,760,820,878,870,909,949,983,"1,009","1,036","1,010","1,002",887,843,962,"1,028","1,054","1,280","1,562","1,450","1,543","1,410","1,415","1,376","1,229","1,355","1,470","1,498","1,662","1,806","1,809","2,045","2,135","2,345","2,558","2,771","2,938","3,143","3,376","3,627"
georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,"1,961","3,148","3,608","3,730","2,898","3,144","3,311","3,493","4,103","5,269","6,590","7,979","10,458","13,158","11,069","12,425","15,475","16,894","17,516","17,966","15,223","15,445","16,472","17,905","17,645","16,013","18,849","24,985","30,778","33,775","35,353","36,763","38,664","40,705","42,896"
germany,"208,867","241,914","290,117","385,518","430,928","474,785","502,961","581,104","716,567","852,855","856,833","720,895","696,088","694,447","654,289","663,459","947,583","1,179,165","1,271,263","1,262,000","1,604,497","1,882,489","2,146,140","2,080,092","2,220,165","2,595,269","2,507,448","2,221,504","2,250,847","2,216,072","1,967,850","1,966,395","2,100,865","2,534,081","2,851,023","2,894,992","3,046,470","3,484,467","3,808,369","3,476,022","3,470,987","3,824,155","3,600,175","3,808,142","3,966,823","3,423,915","3,536,808","3,761,764","4,053,846","3,957,645","3,936,989","4,351,188","4,166,872","4,527,009","4,658,526","4,744,804","4,911,746","5,083,216","5,251,928","5,416,003"
ghana,"3,549","3,874","3,386","3,124","3,641","3,490","3,559","3,872","4,495","4,748","38,684","61,487","70,954","49,337","17,998","15,970","15,086","12,692","13,566","13,723","15,882","17,795","17,666","14,532","13,433","15,692","16,629","17,024","18,528","19,165","12,349","13,113","15,229","18,790","21,754","26,415","30,963","36,544","41,323","37,127","45,447","53,625","55,800","62,846","54,678","49,437","56,144","60,385","67,259","68,353","70,008","79,514","73,919","80,547","82,825","88,332","92,300","96,762","101,673","110,710"
greece,"12,524","13,908","16,094","21,300","24,163","27,212","29,715","34,493","42,200","51,954","56,217","51,873","54,114","48,913","47,657","47,269","55,636","64,769","75,384","78,148","96,601","104,164","114,846","107,505","115,055","135,036","142,513","138,930","139,821","143,693","127,438","132,051","150,148","196,881","234,873","242,450","269,088","314,264","351,083","326,474","296,660","283,178","238,992","236,560","233,972","194,587","193,044","200,310","213,396","207,329","191,210","218,449","219,053","243,569","257,067","267,348","279,637","288,684","298,640","308,815"
grenada,17,21,28,35,36,44,44,50,64,75,111,116,125,132,146,168,188,215,236,267,278,301,310,310,325,342,367,392,446,482,520,520,540,591,599,695,699,759,826,771,771,779,800,843,911,997,"1,062","1,126","1,167","1,213","1,043","1,123","1,231","1,325","1,392","1,464","1,543","1,616","1,693","1,773"
guatemala,"1,697","1,769","1,874","2,290","2,818","3,250","3,892","4,886","5,412","6,154","7,718","8,431","8,539","8,864","9,276","10,951","5,921","6,857","7,426","8,561","7,535","9,174","10,138","11,045","12,482","14,050","14,992","16,982","18,461","17,422","18,124","19,735","21,924","23,092","24,977","28,179","31,308","35,028","40,242","37,997","41,493","47,419","49,902","52,989","57,835","62,180","66,034","71,624","73,331","77,156","77,718","86,467","95,631","104,436","112,575","121,177","131,178","141,574","152,695","164,834"
guinea,566,626,668,716,822,926,"1,056","1,085","1,241","1,328","2,400","2,381","2,335","2,284","2,327","2,473","2,675","2,840","3,317","3,384","3,710","4,195","4,570","4,562","4,707","5,139","5,316","5,212","5,003","4,798","4,039","3,806","4,022","4,759","5,012","4,506","4,178","6,317","6,966","6,753","6,858","6,775","7,387","8,376","8,777","8,790","8,604","10,325","11,857","13,443","14,089","16,320","19,589","22,750","25,758","30,094","35,239","41,120","47,404","55,374"
guinea-bissau,307,305,357,440,483,556,500,430,497,544,289,370,421,475,330,485,474,401,374,449,548,772,846,653,361,778,741,704,592,580,392,413,466,553,582,640,635,753,953,889,941,"1,157","1,050","1,110","1,136","1,153","1,245","1,469","1,555","1,487","1,523","1,722","1,721","2,005","2,184","2,274","2,452","2,645","2,840","3,051"
guyana,427,452,458,488,684,804,711,703,793,829,842,808,692,703,654,697,789,728,828,832,685,744,823,"1,003","1,176","1,332","1,495","1,587","1,500","1,488","1,497","1,504","1,555","1,592","1,657","1,712","1,899","2,225","2,491","2,596","2,889","3,328","4,063","4,168","4,128","4,280","4,483","4,748","4,788","5,174","5,471","8,041","14,718","16,919","24,659","25,822","28,167","32,204","35,691","39,543"
haiti,331,363,372,467,565,681,879,947,974,"1,081","2,664","2,932","3,050","3,273","3,627","4,028","4,475","2,205","1,450","1,340","1,706","1,530",918,"1,107","3,054","4,846","5,000","5,748","6,408","7,148","6,810","6,285","6,064","4,866","6,037","7,186","7,507","9,522","10,488","11,598","11,852","13,009","13,709","14,904","15,137","14,831","13,996","15,036","16,454","14,787","14,508","21,017","19,826","19,603","26,229","33,548","37,476","38,551","39,667","39,849"
honduras,824,872,958,"1,089","1,234","1,341","1,608","1,992","2,302","2,686","3,968","4,044","4,267","4,477","4,915","5,278","5,678","6,191","6,877","7,877","4,923","4,649","4,944","4,961","4,642","5,415","5,217","5,736","6,366","6,417","7,104","7,568","7,775","8,139","8,769","9,672","10,843","12,276","13,789","14,486","15,730","17,590","18,399","18,370","19,617","20,834","21,564","22,982","23,907","24,711","23,190","27,950","31,233","34,229","36,965","38,172","39,735","42,021","44,471","47,049"
hong kong,"3,812","4,456","5,702","8,022","9,374","10,044","12,873","15,706","18,297","22,495","28,862","31,055","32,291","29,907","33,511","35,700","41,076","50,623","59,708","68,790","76,929","88,960","104,272","120,354","135,812","144,652","159,718","177,349","168,858","165,734","171,643","169,381","166,336","161,370","169,085","181,556","193,515","211,583","219,279","214,048","228,639","248,514","262,629","275,697","291,460","309,386","320,860","341,271","361,731","363,075","344,941","368,954","358,680","381,066","407,107","423,999","438,377","461,227","483,888","506,970"
hungary,"6,270","6,824","8,004","9,911","10,863","12,387","14,354","16,031","18,741","21,639","23,117","23,706","24,142","21,910","21,243","21,511","24,778","27,233","29,800","30,423","34,478","34,867","38,857","40,256","43,308","46,578","46,834","47,399","48,784","49,160","47,276","53,800","67,636","85,190","104,015","113,098","115,604","140,123","158,228","130,807","131,899","141,713","128,470","135,646","141,129","125,244","128,984","143,335","161,185","164,927","158,468","183,283","178,321","214,098","223,060","237,070","253,087","267,594","282,989","299,580"
iceland,519,660,827,"1,133","1,493","1,386","1,645","2,176","2,475","2,811","3,434","3,543","3,251","2,793","2,892","3,009","4,014","5,561","6,145","5,700","6,504","6,949","7,105","6,225","6,393","7,124","7,426","7,570","8,504","8,982","9,026","8,235","9,318","11,429","13,825","16,853","17,465","21,653","18,075","13,154","13,751","15,222","14,752","16,125","17,868","17,517","20,793","24,728","26,261","24,681","21,630","25,770","28,696","31,452","33,463","35,309","38,312","41,395","44,893","48,632"
india,"61,470","65,947","71,735","85,546","96,552","100,437","101,196","117,421","135,833","150,317","186,170","193,153","200,035","218,218","211,843","233,520","248,398","278,864","294,479","296,043","320,979","270,105","288,210","279,295","327,275","360,281","392,902","415,895","421,378","458,821","468,396","485,440","514,938","607,701","709,152","820,385","940,260","1,216,736","1,198,895","1,341,889","1,675,615","1,823,052","1,827,637","1,856,721","2,039,127","2,103,588","2,294,797","2,651,474","2,702,930","2,835,606","2,674,852","3,167,271","3,346,107","3,638,490","3,909,097","4,187,017","4,601,225","5,069,470","5,584,476","6,148,426"
indonesia,"9,805","10,295","12,083","17,878","28,349","33,472","40,948","50,331","56,535","56,473","99,296","110,848","113,799","103,149","107,218","107,062","101,220","95,214","107,279","122,582","138,258","154,558","168,280","190,913","213,727","244,227","274,722","260,680","115,323","169,158","179,482","174,507","212,807","255,346","279,344","310,920","396,518","470,092","558,291","578,577","755,094","892,969","917,870","912,524","890,815","860,854","931,877","1,015,619","1,042,272","1,119,100","1,059,055","1,186,510","1,319,101","1,371,169","1,396,300","1,429,743","1,535,057","1,649,352","1,779,011","1,916,671"
iran,"10,032","12,631","15,785","25,134","43,806","48,877","63,404","74,362","73,233","85,610","95,846","101,481","125,800","156,927","161,721","180,541","208,928","277,019","311,932","379,427","581,008","304,065","50,472","64,449","79,818","114,941","158,032","184,138","205,000","275,092","366,917","330,978","132,682","158,416","188,961","228,428","272,361","360,928","425,699","440,408","517,899","625,430","421,882","428,321","460,809","408,288","458,042","486,829","332,846","241,658","195,528","289,294","376,254","372,820","401,357","341,013","361,149","400,521","436,860","463,289"
iraq,"2,320","2,605","2,615","3,283","3,870","4,845","6,178","6,693","8,468","11,371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25,984","21,113","21,063","15,800","36,642","50,065","65,144","88,833","131,614","111,660","138,517","185,750","218,032","234,638","234,651","177,634","168,429","190,048","230,189","236,682","182,576","210,753","288,059","270,799","277,478","258,020","260,803","278,128","294,469","312,578"
ireland,"4,295","4,979","6,210","7,356","7,799","9,279","9,285","10,972","14,254","18,023","21,425","20,423","21,313","20,618","19,883","21,168","28,516","33,660","36,875","38,030","48,199","48,840","54,911","51,364","55,843","69,260","75,928","82,957","90,305","98,993","100,253","109,347","128,505","164,630","194,283","211,993","232,193","270,112","275,417","236,187","222,167","241,295","227,415","243,305","266,857","302,422","305,649","348,411","395,641","407,170","436,205","531,660","549,003","551,554","577,216","598,840","623,492","647,247","675,102","703,501"
israel,"6,070","6,401","8,431","10,807","14,655","14,502","15,243","16,495","16,232","20,891","25,071","26,565","28,470","31,752","30,059","27,938","34,394","41,080","50,888","51,777","61,097","69,307","77,446","77,837","88,852","105,553","115,181","119,516","120,586","121,425","136,516","134,990","125,339","131,544","140,162","147,442","159,076","184,706","221,231","213,401","239,679","268,095","263,591","298,479","315,019","303,469","321,941","358,453","376,301","400,648","410,771","489,854","525,183","512,185","540,381","583,361","610,712","638,253","667,600","698,299"
italy,"109,791","120,709","140,634","169,911","193,228","220,469","217,583","249,389","305,032","381,143","479,967","435,267","430,169","446,399","441,048","455,457","645,071","809,632","897,006","932,931","1,164,328","1,229,898","1,305,099","1,049,470","1,082,455","1,177,984","1,315,136","1,246,340","1,274,381","1,256,251","1,150,169","1,172,049","1,280,841","1,582,534","1,811,987","1,866,013","1,958,667","2,222,785","2,417,242","2,207,085","2,146,687","2,306,568","2,099,259","2,153,259","2,173,815","1,845,615","1,886,590","1,970,027","2,100,387","2,019,831","1,905,956","2,180,656","2,105,722","2,305,271","2,372,059","2,422,855","2,504,607","2,566,489","2,634,076","2,705,116"
jamaica,"1,591","1,741","2,119","2,173","2,700","3,251","3,371","3,694","3,006","2,765","2,565","2,817","3,235","2,875","2,119","1,993","2,369","2,672","3,184","3,692","4,663","4,285","4,328","5,440","5,453","6,549","7,394","8,400","8,787","8,887","9,065","9,195","9,719","9,430","10,175","11,233","11,946","12,881","13,743","12,107","13,193","14,413","14,765","14,213","13,865","14,154","14,108","14,755","15,648","15,808","13,885","14,674","17,003","19,315","20,069","21,411","22,214","22,979","23,771","24,592"
japan,"209,071","236,155","312,738","424,891","471,643","512,861","576,406","709,405","996,742","1,037,453","1,129,378","1,245,221","1,158,731","1,270,860","1,345,825","1,427,020","2,120,084","2,580,749","3,125,725","3,109,455","3,185,904","3,648,066","3,980,703","4,536,941","4,998,798","5,545,566","4,923,393","4,492,449","4,098,363","4,635,982","4,968,360","4,374,710","4,182,845","4,519,564","4,893,135","4,831,467","4,601,663","4,579,750","5,106,679","5,289,494","5,759,072","6,233,148","6,272,362","5,212,328","4,896,995","4,444,931","5,003,678","4,930,837","5,040,881","5,117,995","5,054,069","5,039,148","4,262,146","4,213,167","4,026,211","4,186,431","4,373,091","4,520,523","4,708,707","4,828,281"
jordan,593,633,705,807,933,"1,220","1,574","1,937","2,562","3,103","3,932","4,416","4,713","4,953","5,003","5,033","6,445","6,794","6,364","4,279","4,187","4,373","5,403","5,615","6,321","6,759","7,054","7,389","8,163","8,414","8,725","9,268","9,972","10,575","11,771","13,134","15,795","17,957","22,648","24,538","27,134","29,524","31,679","34,503","36,900","38,642","39,949","41,667","43,432","44,566","43,762","46,362","48,722","51,161","53,428","56,102","59,230","62,532","66,018","69,698"
kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,875","5,152","11,881","16,639","21,035","22,166","22,135","16,871","18,292","22,153","24,637","30,834","43,152","57,125","81,003","104,850","133,442","115,309","148,047","192,626","207,999","236,635","221,416","184,388","137,278","166,806","179,340","181,667","171,082","197,112","225,496","261,840","284,810","300,538","325,095","351,156","374,090","398,524"
kenya,"2,195","2,432","2,727","3,217","3,836","4,206","4,483","5,794","6,860","7,869","13,449","12,667","12,196","11,279","11,703","11,646","13,832","15,163","15,721","15,586","16,219","15,315","15,084","10,479","12,546","15,905","18,064","18,300","20,630","18,594","18,206","18,697","19,030","21,391","22,790","26,307","29,668","36,708","41,058","42,347","45,406","46,555","56,407","61,703","68,395","70,370","74,816","81,965","92,211","100,328","100,912","109,875","114,733","108,747","120,899","131,673","127,968","131,798","140,341","150,725"
kiribati,21,22,28,46,83,80,60,56,65,62,33,35,33,31,34,26,26,30,38,38,37,41,62,59,67,69,81,80,75,77,75,65,75,97,104,114,112,138,150,142,166,196,207,202,201,192,207,223,234,217,222,285,271,289,308,312,327,339,351,365
south korea,"8,936","9,894","10,794","13,805","19,397","21,648","29,774","38,227","51,539","66,218","66,517","74,287","79,912","89,621","99,750","103,764","119,966","152,241","205,479","254,236","292,064","340,863","366,912","405,772","478,988","586,301","631,194","590,070","396,803","515,427","597,802","567,655","649,747","728,497","822,583","971,540","1,094,545","1,220,756","1,093,487","982,854","1,192,722","1,307,239","1,335,344","1,434,670","1,556,252","1,539,212","1,578,816","1,710,197","1,824,251","1,751,046","1,744,456","1,942,314","1,799,363","1,839,058","1,869,714","1,790,322","1,851,816","1,925,580","1,999,258","2,072,744"
kosovo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,217","2,509","2,730","3,390","3,710","3,828","4,019","4,868","5,202","5,030","5,348","6,340","6,167","6,735","7,076","6,296","6,681","7,178","7,882","7,900","7,728","9,418","9,375","10,470","11,151","11,274","11,941","12,658","13,407","14,202"
kuwait,"2,873","3,881","4,448","5,405","13,004","12,016","13,120","14,140","15,502","24,750",NA,"25,249","21,583","20,871","21,700","21,445","17,904","22,368","20,690","24,313","18,239","10,791","19,871","23,955","24,859","27,186","31,491","30,350","25,941","30,126","37,714","34,906","38,129","47,869","59,439","80,799","101,548","114,608","147,391","105,992","115,401","154,020","174,066","174,179","162,695","114,606","109,399","120,688","138,655","140,855","111,048","148,455","183,977","163,716","158,568","153,101","155,958","162,341","169,169","176,134"
kyrgyzstan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,917,665,"1,108","1,493","1,822","1,767","1,630","1,242","1,368","1,525","1,606","1,920","2,214","2,459","2,837","3,807","5,139","4,690","4,794","6,198","6,604","7,335","7,467","6,678","6,813","7,703","8,271","9,372","8,283","9,256","12,269","15,187","17,491","19,849","21,222","22,807","24,427","26,202"
laos,113,125,134,154,174,204,222,231,250,265,"1,913","1,118","1,119","2,047","2,930","3,685","2,577","1,815","1,182","1,460","1,742","2,053","2,354","2,652","3,081","3,579","3,726","3,515","1,334","1,415","1,720","1,757","1,844","2,260","2,651","3,079","3,934","4,757","5,946","6,431","7,506","8,964","10,194","11,972","13,266","14,418","15,904","17,055","18,131","18,770","18,511","18,533","15,121","14,978","15,879","16,322","16,753","17,348","17,933","18,556"
latvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,641","2,643","4,391","5,242","5,799","6,351","6,977","7,325","7,765","8,192","9,256","11,249","13,831","16,332","20,453","29,463","34,296","25,758","23,509","26,832","27,136","29,157","30,285","26,347","27,110","29,381","33,263","33,103","33,353","38,209","38,045","42,584","43,508","45,535","48,353","50,889","53,446","56,178"
lebanon,"1,489","1,673","2,086","2,721","3,496","3,258","1,427","2,529","2,977","3,633","4,020","3,843","2,621","3,611","4,269","3,566","2,780","3,254","3,269","2,682","2,801","4,392","5,472","7,435","8,988","10,971","12,824","15,535","17,059","17,174","17,018","17,361","18,837","19,486","21,160","21,497","22,023","24,827","29,119","35,400","38,444","39,927","44,017","46,880","48,095","49,929","51,150","53,030","54,900","50,928","24,976","19,782","24,748","23,607","28,280","28,280","28,280","28,280","28,280","28,280"
lesotho,67,65,77,116,132,138,136,178,245,267,428,435,362,401,360,288,331,434,496,519,635,743,863,865,915,"1,032",977,"1,027",949,937,922,774,856,"1,256","1,598","1,730","1,720","1,759","1,652","1,937","2,356","2,571","2,465","2,345","2,477","2,202","2,206","2,424","2,472","2,323","2,092","2,445","2,275","2,213","2,309","2,404","2,501","2,566","2,667","2,761"
liberia,259,273,296,346,423,509,527,590,646,744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,863,904,943,714,897,944,"1,109","1,344","1,676","1,765","1,966","2,340","2,675","3,044","3,090","3,092","3,256","3,321","3,264","3,080","3,037","3,509","3,974","4,390","4,818","5,166","5,490","5,864","6,268","6,684"
libya,"4,268","4,881","5,845","8,003","14,022","13,649","17,719","20,809","20,537","28,332","40,190","34,720","34,616","32,988","30,890","30,384","24,756","23,009","25,870","27,446","31,627","34,995","35,459","31,912","29,719","33,739","36,827","37,702","30,921","37,129","39,498","35,206","21,128","27,026","34,054","48,852","60,094","68,211","86,804","60,767","75,381","48,170","92,542","75,355","57,384","48,718","49,913","67,153","76,682","69,237","46,893","35,216","43,281","43,958","42,159","47,484","48,722","50,180","51,961","54,194"
lithuania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6,742","8,440","10,159","11,284","11,017","11,541","12,260","14,283","18,801","22,710","26,118","30,138","39,765","48,004","37,591","36,693","43,201","42,736","46,321","48,388","41,548","42,952","47,745","54,294","55,132","57,352","67,068","71,082","79,824","84,847","89,192","94,182","98,885","103,789","108,927"
luxembourg,"1,445","1,506","1,886","2,588","3,157","3,097","3,395","3,757","4,679","5,470","6,434","5,549","4,557","4,473","4,385","4,544","6,611","8,211","9,301","9,903","12,628","13,683","15,328","15,714","17,487","20,571","20,464","18,428","19,263","21,088","21,240","21,388","23,633","29,660","35,049","37,693","42,912","51,594","58,838","54,408","56,260","61,685","59,814","65,204","68,823","60,078","62,200","65,689","71,118","69,880","73,612","86,444","80,865","87,599","93,169","96,613","100,440","104,767","109,193","113,820"
macau,165,197,241,328,377,436,433,554,723,822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6,860","7,372","8,247","10,643","12,160","14,874","18,440","21,027","21,588","28,242","36,844","43,190","51,536","54,903","45,048","45,071","50,384","55,191","55,082","25,344","30,969","24,998","45,802","50,182","53,354","56,312","59,692","63,219","66,759"
madagascar,898,971,"1,110","1,367","1,549","1,844","1,762","1,905","2,156","2,798","5,202","4,759","4,785","4,686","3,906","3,803","4,348","3,213","3,189","3,176","3,931","3,255","3,715","4,063","3,522","3,838","4,932","4,263","4,402","4,278","4,629","5,438","5,352","6,372","5,065","5,859","6,396","8,525","10,725","9,617","9,983","11,552","11,579","12,424","12,523","11,323","11,849","13,176","13,760","14,105","13,051","14,355","15,326","15,870","17,420","18,708","20,099","21,797","24,048","26,553"
malawi,442,555,635,612,756,845,923,"1,111","1,307","1,403","3,022","3,022","2,881","2,986","2,949","2,762","2,883","2,834","3,258","3,715","4,222","5,380","4,394","5,056","2,930","3,412","5,569","6,504","4,275","4,336","4,257","4,178","4,922","4,521","4,895","5,148","5,630","6,240","7,492","8,723","9,796","11,241","8,421","7,648","8,526","9,014","7,733","8,943","9,882","11,031","11,847","12,475","12,531","13,439","11,797","13,959","14,632","15,441","16,334","17,290"
malaysia,"3,737","4,586","5,449","8,279","10,260","10,079","11,939","14,196","17,674","22,919","26,757","27,321","29,278","32,745","37,087","34,090","30,303","34,529","37,845","41,678","47,245","53,519","64,427","72,857","81,156","96,606","109,846","109,116","78,639","86,203","102,149","101,054","109,833","120,025","135,869","150,345","170,410","202,732","241,946","211,847","258,640","302,184","318,909","327,869","342,868","301,355","301,256","319,109","358,783","365,178","337,456","373,785","407,605","399,705","419,617","444,984","475,129","503,927","534,617","565,411"
maldives,38,42,49,60,76,48,44,41,47,75,63,73,87,94,113,134,158,149,178,201,231,262,306,346,382,466,527,652,693,756,801,767,828,"1,052","1,227","1,163","1,575","1,868","2,272","2,345","2,588","2,629","2,885","3,286","3,690","4,118","4,398","4,809","5,398","5,716","3,706","5,242","6,168","6,581","7,019","7,480","8,119","8,620","9,144","9,698"
mali,276,330,373,433,406,604,716,833,965,"1,220","2,031","1,660","1,468","1,418","1,416","1,426","1,981","2,308","2,316","2,827","3,223","3,284","3,372","3,362","2,575","3,337","3,416","3,208","3,328","3,444","2,963","3,468","3,905","4,713","5,452","6,251","6,906","8,157","9,871","10,249","10,698","12,993","12,450","13,243","14,369","13,106","14,022","15,360","17,079","17,281","17,491","19,320","19,319","21,184","22,724","23,208","24,821","26,587","28,486","30,541"
malta,251,265,295,346,376,475,528,626,794,"1,001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,353","3,419","3,461","3,667","3,827","4,042","4,072","4,462","5,425","6,109","6,392","6,783","7,972","9,171","8,760","9,104","9,788","9,616","10,797","11,891","11,342","12,022","14,156","16,161","16,340","16,397","19,737","19,254","22,217","24,315","25,750","27,488","29,135","30,894","32,773"
marshall islands,8,9,10,12,15,17,18,20,22,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,112,113,115,123,132,131,133,138,143,150,147,151,161,172,181,186,186,184,202,214,220,233,242,259,253,259,280,297,317,338,354,369
